soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Ah17	Birom	West Tropical Africa	15	0.628108462	Cousin marriages preferred	Precipitation predictability
Ah18	Burmawa	West Tropical Africa	15	0.637797604	Cousin marriages preferred	Precipitation predictability
Ah19	Adara	West Tropical Africa	15	0.623793936	Cousin marriages preferred	Precipitation predictability
Ah2	Jukun	West Tropical Africa	15	0.654270613	Cousin marriages preferred	Precipitation predictability
Ah20	Kagoro	West Tropical Africa	15	0.623793936	Cousin marriages preferred	Precipitation predictability
Ah21	Kurama	West Tropical Africa	15	0.628108462	Cousin marriages preferred	Precipitation predictability
Ah23	Jibu	West Tropical Africa	1	0.647475788	Cousin marriages preferred	Precipitation predictability
Ah24	Kentu	West Tropical Africa	15	0.661109667	Cousin marriages preferred	Precipitation predictability
Ah25	Tigon	West Tropical Africa	15	0.48405039	Cousin marriages preferred	Precipitation predictability
Ah26	Ndoro	West Tropical Africa	1	0.650278655	Cousin marriages preferred	Precipitation predictability
Ah27	Zuande	West Tropical Africa	2	0.650278655	Cousin marriages preferred	Precipitation predictability
Ah28	Chamba	West Tropical Africa	15	0.647475788	Cousin marriages preferred	Precipitation predictability
Ah3	Tiv	West Tropical Africa	15	0.661512761	Cousin marriages preferred	Precipitation predictability
Ah30	Longuda	West Tropical Africa	15	0.651347315	Cousin marriages preferred	Precipitation predictability
Ah31	Mumuye	West Tropical Africa	15	0.655914864	Cousin marriages preferred	Precipitation predictability
Ah32	Vere	West-Central Tropical Africa	15	0.656039328	Cousin marriages preferred	Precipitation predictability
Ah33	Yungur	West Tropical Africa	15	0.651347315	Cousin marriages preferred	Precipitation predictability
Ah34	Bata	West Tropical Africa	15	0.64799156	Cousin marriages preferred	Precipitation predictability
Ah35	Bura	West Tropical Africa	15	0.651347315	Cousin marriages preferred	Precipitation predictability
Ah36	Gude	West Tropical Africa	15	0.64799156	Cousin marriages preferred	Precipitation predictability
Ah37	Hwana	West Tropical Africa	15	0.64799156	Cousin marriages preferred	Precipitation predictability
Ah38	Kapsiki	West-Central Tropical Africa	15	0.664229396	Cousin marriages preferred	Precipitation predictability
